Date,Time,Condo ID,Crab ID,Outcome,Sex,Color,RI,Status,Shell Hardness,Black Light Fluorescence,Photo ID,Fed (Y/N),Post-molt CW (mm),Post-molt mass (g),Digital RI,Ca (ppm),Notes/Observations
6/18/21,10:38,WL,BG,Dead,F,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BG,Dead,F,NA,5,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BG,Dead,F,NA,NA,A,3,L,101-0007,N,NA,NA,NA,NA,Barely fluorescing
6/28/21,10:12,WL,BG,Dead,F,NA,4.5,A,3,L,NA,N,NA,NA,NA,NA,Barely flourescing
7/1/21,10:16,WL,BG,Dead,F,NA,NA,A,3,L,101-0037,N,NA,NA,NA,NA,NA
7/5/21,8:58,WL,BG,Dead,F,NA,4,A,3,L,NA,N,NA,NA,NA,NA,Barely fluorescing
7/8/21,9:32,WL,BG,Dead,F,NA,NA,A,3,L,101-0066,N,NA,NA,NA,NA,Just tips fluorescing
7/12/21,14:55,WL,BG,Dead,F,NA,NA,D,NA,NA,NA,N,NA,NA,NA,NA,NA
6/10/21,10:36,WL,BGBG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/14/21,14:33,WL,BGBG,Molted,M,NA,10.5,A,3,L,"129,130",Y,NA,NA,NA,NA,NA
6/18/21,10:38,WL,BGBG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGBG,Molted,M,NA,11,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGBG,Molted,M,NA,NA,A,3,L,101-0027,N,NA,NA,NA,NA,NA
6/28/21,10:55,WL,BGBG,Molted,M,NA,11.5,A,3,L,NA,N,NA,NA,NA,NA,Lots of fluorescence on legs
7/1/21,10:16,WL,BGBG,Molted,M,NA,NA,M,3,L,101-0056,N,NA,NA,NA,NA,Molted
6/18/21,10:38,WL,BGBK,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA
6/21/21,9:36,WL,BGBK,Removed,M,NA,13,A,3,L,NA,N,NA,NA,NA,NA,NA
6/24/21,10:05,WL,BGBK,Removed,M,NA,NA,A,3,L,101-0021,N,NA,NA,NA,NA,NA
6/28/21,10:55,WL,BGBK,Removed,M,NA,12.5,A,3,"L,V",NA,N,NA,NA,NA,NA,"Sternite plates glowing, but were also white "
7/1/21,10:16,WL,BGBK,Removed,M,NA,12,A,3,L,101-0050,N,NA,NA,NA,NA,NA
7/5/21,8:58,WL,BGBK,Removed,M,NA,11.5,A,3,L,NA,N,NA,NA,NA,NA,Just the tips of legs fluorescing
7/8/21,9:32,WL,BGBK,Removed,M,NA,7,A,3,L,101-0060,N,NA,NA,NA,NA,NA
7/12/21,14:55,WL,BGBK,Removed,M,NA,7.5,A,3,L,NA,N,NA,NA,NA,NA,NA
7/15/21,9:40,WL,BGBK,Removed,M,NA,NA,A,3,X,101-0114,N,NA,NA,NA,NA,NA
7/19/21,10:26,WL,BGBK,Removed,M,NA,7,A,3,L,NA,N,NA,NA,NA,NA,Just tips fluorescing
7/22/21,8:50,WL,BGBK,Removed,M,NA,NA,A,3,X,101-0137,N,NA,NA,NA,NA,Missing legs tips
6/3/21,9:17,WL,BGBR,Removed,M,NA,NA,A,3,L,"14,15",N,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/7/21,9:13,WL,BGBR,Removed,M,NA,5.5,A,3,L,"56,57",Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35
6/10/21,9:31,WL,BGBR,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,"very tips of legs, Removed from tray (non-premolt) on 6/17/2021 12:35"
6/14/21,14:33,WL,BGBR,Removed,M,NA,7.5,A,3,L,"98,99",Y,NA,NA,NA,NA,"Barely fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35"
