Crab ID,Condo ID,Cell ID,Date Added,Date Removed,Days in Condo,Time Added (24hr),CW (mm),Weight (g),Sex (M/F),# Limbs Missing,Outcome,Notes/Observations,,,,,,,,,,,,
BG,WL,A6,6/18/21,7/12/21,24,10:38,43.0,20.5,F,0,Dead,Dead 7/12/2021,,,,,,,,,,,,
BGBG,WL,F1,6/10/21,7/1/21,21,11:55,56.0,50.5,M,0,Molted,,,,,,,,,,,,,
BGBK,WL,D3,6/18/21,7/22/21,35,10:38,69.0,103.1,M,0,Removed,,,,,,,,,,,,,
BGBR,WL,A4,6/3/21,6/17/21,14,10:10,61.0,70.6,M,0,Removed,Removed from tray (non-premolt) on 6/17/2021 12:35,,,,,,,,,,,,
BGBW,WL,C1,6/3/21,7/15/21,42,10:18,62.0,75.2,M,0,Dead,,,,,,,,,,,,,
BGBY,WL,A3,6/18/21,7/22/21,35,10:38,63.0,78.4,M,0,Removed,,,,,,,,,,,,,
BGG,WL,B2,6/3/21,6/21/21,18,10:16,42.0,20.3,M,0,Molted,,,,,,,,,,,,,
BGGG,WL,F5,6/18/21,7/22/21,35,10:38,60.0,59.9,M,1,NA,Missing claw,,,,,,,,,,,,
BGGK,WL,E4,6/10/21,7/8/21,42,11:55,43.0,21.2,M,3,Missing,,,,,,,,,,,,,
BGGR,WL,C3,6/18/21,7/8/21,20,10:38,47.0,29.1,F,0,Removed,Had a brood on 7/8/21 so removed,,,,,,,,,,,,
BGGW,WL,B3,6/3/21,7/15/21,42,10:17,54.0,42.8,M,2,Removed,2 legs on each side missing,,,,,,,,,,,,
BGK,WS,C1,6/14/21,7/22/21,38,17:30,62.0,51.9,M,0,NA,,,,,,,,,,,,,
BGKG,WL,C2,6/10/21,7/19/21,39,11:55,48.0,29.8,M,0,Molted,Molted 7/19/2021,,,,,,,,,,,,
BGKK,WL,A3,6/3/21,6/17/21,14,10:10,57.0,47.5,M,2,Removed,"Claw & back leg missing, Removed from tray (non-premolt) on 6/17/2021 12:35  ",,,,,,,,,,,,
BGKR,WL,A1,6/18/21,7/22/21,35,10:38,58.0,56.6,M,0,Removed,,,,,,,,,,,,,
