crab_id,date,condo_id,outcome,sex,hemo_col,hemo_ri,status,calcium,notess,days_in_condo,days_since_intake,days_before_outcome,molt
KYBW,7/29/22,WL,Removed,F,1,4.5,A,NA,,11,0,11,0
KBKY,8/1/22,WL,Removed,F,3,5.5,A,NA,,22,0,21,0
KWYW,7/18/22,WL,Removed,F,2,5.5,A,366,,22,0,22,0
KB,8/1/22,WL,Removed,F,2,6,A,NA,,22,0,21,0
KBBW,6/23/22,WL,Removed,M,3,6,A,NA,,22,0,21,0
KKK,8/1/22,WL,Removed,F,2,6,A,NA,,22,0,21,0
KGRK,8/1/22,WL,Removed,F,1,6.5,A,NA,,22,0,21,0
KKWK,8/1/22,WL,Removed,F,1,6.5,A,NA,,22,0,21,0
KRGW,7/18/22,WL,Removed,F,2,6.5,A,425,,22,0,22,0
KRYW,8/1/22,WL,Removed,F,2,6.5,A,NA,,22,0,21,0
KYKR,8/1/22,WL,Removed,F,1,6.5,A,NA,,22,0,21,0
KYWR,8/1/22,WL,Removed,F,1,6.5,A,NA,,22,0,21,0
KBBR,7/18/22,WL,Removed,F,4,7,A,375,,14,0,14,0
GGYW,5/31/22,WL,Removed,M,3,7,A,NA,,22,0,21,0
KBG,8/1/22,WL,Removed,F,3,7,A,NA,,22,0,21,0
KBKB,7/18/22,WL,Removed,F,3,7,A,374,,22,0,22,0
KKKK,7/18/22,WL,Removed,F,3,7,A,394,,22,0,22,0
UGYR,8/22/22,WL,Molted,F,3,7.5,A,NA,,4,0,4,1
KBRR,8/1/22,WL,Removed,F,3,7.5,A,NA,,22,0,21,0
KK,8/1/22,WL,Removed,F,1,7.5,A,NA,,22,0,21,0
KWBK,8/1/22,WL,Removed,F,2,7.5,A,NA,,22,0,21,0
KBWK,7/18/22,WL,Removed,F,3,8,A,431,,3,0,3,0
KWWW,7/18/22,WL,Removed,F,3,8,A,374,,17,0,17,0
GBWK,5/19/22,WL,Molted,M,3,8,A,NA,,19,0,18,1
KRK,8/1/22,WL,Removed,F,2,8,A,NA,,22,0,21,0
KRRR,8/1/22,WL,Removed,F,2,8,A,NA,,22,0,21,0
KRW,8/1/22,WL,Removed,F,3,8,A,NA,,22,0,21,0
KWRW,8/1/22,WL,Removed,F,1,8,A,NA,,22,0,21,0
GBGB,5/19/22,WL,Molted,M,4,8.5,A,NA,,13,0,12,1
GGGY,5/19/22,WL,Molted,M,3,8.5,A,NA,originally entered as GYGG,15,0,14,1
KYYW,7/18/22,WL,Removed,F,3,8.5,A,396,,22,0,22,0
KWGK,7/18/22,WL,Removed,F,3,9,A,397,,14,0,14,0
KBBK,8/1/22,WL,Removed,F,3,9,A,NA,,22,0,21,0
KKYK,8/1/22,WL,Removed,F,4,9,A,NA,,22,0,21,0
PBW,7/19/21,WL,Molted,F,NA,9.5,A,NA,Barely tips fluorescing,3,0,3,1
GBGY,5/19/22,WL,Molted,M,3,9.5,A,NA,pinkish blood,5,0,4,1
KRBK,8/1/22,WL,Removed,F,2,9.5,A,NA,,22,0,21,0
KRGR,7/18/22,WL,Molted,F,4,10,A,431,,14,0,14,1
UGYK,8/22/22,WL,Molted,F,3,10,A,NA,,15,0,15,1
PBYW,7/15/21,WL,Molted,F,NA,10,A,NA,NA,17,0,18,1
GBKR,5/19/22,WL,Molted,M,3,10,A,NA,,19,0,18,1
