date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,digital_ri,ca,days_from_molt
6/10/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA,21
6/14/21,WL,BGBG,Molted,M,NA,10.50,A,3,NA,NA,NA,17
6/18/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA,13
6/21/21,WL,BGBG,Molted,M,NA,11.00,A,3,NA,NA,NA,10
6/24/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA,7
6/28/21,WL,BGBG,Molted,M,NA,11.50,A,3,NA,NA,NA,3
7/1/21,WL,BGBG,Molted,M,NA,NA,M,3,NA,NA,NA,0
6/3/21,WL,BGG,Molted,M,NA,NA,A,2,NA,NA,NA,18
6/7/21,WL,BGG,Molted,M,NA,6.50,A,2,NA,NA,NA,14
6/10/21,WL,BGG,Molted,M,NA,NA,A,2,NA,NA,NA,11
6/14/21,WL,BGG,Molted,M,NA,9.50,A,2,NA,NA,NA,7
6/18/21,WL,BGG,Molted,M,NA,NA,A,3,NA,NA,NA,3
6/21/21,WL,BGG,Molted,M,NA,5.50,M,1,NA,NA,NA,0
6/10/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,39
6/14/21,WL,BGKG,Molted,M,NA,3.50,A,3,NA,NA,NA,35
6/18/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,31
6/21/21,WL,BGKG,Molted,M,NA,8.00,A,3,NA,NA,NA,28
6/24/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,25
6/28/21,WL,BGKG,Molted,M,NA,8.00,A,3,NA,NA,NA,21
7/1/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,18
7/5/21,WL,BGKG,Molted,M,NA,7.00,A,3,NA,NA,NA,14
7/8/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,11
7/12/21,WL,BGKG,Molted,M,NA,6.50,A,3,NA,NA,NA,7
7/15/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,NA,4
7/19/21,WL,BGKG,Molted,M,NA,NA,M,1,NA,NA,NA,0
6/3/21,WL,BGKY,Molted,M,NA,NA,A,3,NA,NA,NA,11
6/7/21,WL,BGKY,Molted,M,NA,4.50,A,3,NA,NA,NA,7
6/10/21,WL,BGKY,Molted,M,NA,NA,A,3,NA,NA,NA,4
6/14/21,WL,BGKY,Molted,M,NA,5.50,M,1,NA,NA,NA,0
