date,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,cw,mass,digital_ri,ca,start_end,period
6/10/21,WL,BGBG,Molted,M,NA,NA,A,3,56,50.5,NA,NA,start,TRUE
6/3/21,WL,BGG,Molted,M,NA,NA,A,2,42,20.3,NA,NA,start,TRUE
6/3/21,WL,BGKY,Molted,M,NA,NA,A,3,51,36.8,NA,NA,start,TRUE
6/13/22,WL,GBB,Molted,M,2,5.5,A,3,48,32.2,NA,NA,start,TRUE
5/31/22,WL,GBGB,Molted,M,3,12,A,3,45,23.7,NA,NA,start,TRUE
5/19/22,WL,GBGY,Molted,M,3,10,A,3,51,38,NA,NA,start,TRUE
5/19/22,WL,GBKR,Molted,M,1,3.5,A,3,50,33.2,NA,NA,start,TRUE
5/19/22,WL,GBWK,Molted,M,3,8.5,A,3,57,54.6,NA,NA,start,TRUE
5/19/22,WL,GBYB,Molted,M,5,10,A,3,48,30.4,NA,NA,start,TRUE
5/19/22,WL,GGBY,Molted,M,3,11.5,A,3,43,23.6,NA,NA,start,TRUE
5/31/22,WL,GGGW,Molted,M,3,10.5,A,3,48,35.7,NA,NA,start,TRUE
5/23/22,WL,GGGY,Molted,M,4,10,A,3,50,37.8,NA,NA,start,TRUE
5/19/22,WL,GGKG,Molted,M,1,6,A,3,51,37.5,NA,NA,start,TRUE
7/18/22,WL,KRGR,Molted,F,2,6.5,A,3,49,29.7,7.7,425,start,TRUE
6/10/21,WL,OBB,Molted,M,NA,NA,A,3,49,50.6,NA,NA,start,TRUE
6/10/21,WL,OBG,Molted,M,NA,NA,A,3,44,24.2,NA,NA,start,TRUE
7/15/21,WL,PBBG,Molted,F,NA,13.5,A,3,40.5,19.4,NA,NA,start,TRUE
6/10/21,WL,OBYR,Molted,M,NA,NA,A,3,49,34.4,NA,NA,start,TRUE
7/19/21,WL,PBRG,Molted,F,NA,11.5,A,3,47,29.9,NA,NA,start,TRUE
7/19/21,WL,PBW,Molted,F,NA,9.5,A,3,44,23,NA,NA,start,TRUE
7/15/21,WL,PBYW,Molted,F,NA,10,A,3,43,22,NA,NA,start,TRUE
6/24/21,WL,PBYY,Molted,M,NA,NA,A,3,42,19.5,NA,NA,start,TRUE
8/22/22,WL,UGYR,Molted,F,1,6,A,3,49,30,NA,NA,start,TRUE
8/22/22,WL,UGYK,Molted,F,3,8,A,3,47,30.1,NA,NA,start,TRUE
7/26/21,WL,YBY,Molted,F,NA,NA,D,NA,NA,NA,NA,NA,start,TRUE
7/26/21,WL,YYG,Molted,F,NA,6,M,2,NA,NA,NA,NA,start,TRUE
7/22/21,WL,YBYB,Molted,F,NA,12,A,3,50,32.7,NA,NA,start,TRUE
6/18/21,WL,BGBK,Removed,M,NA,NA,A,3,69,103.1,NA,NA,start,FALSE
6/3/21,WL,BGBR,Removed,M,NA,NA,A,3,61,70.6,NA,NA,start,FALSE
6/18/21,WL,BGBY,Removed,M,NA,NA,A,3,63,78.4,NA,NA,start,FALSE
6/18/21,WL,BGGR,Removed,F,NA,NA,A,3,47,29.1,NA,NA,start,FALSE
6/3/21,WL,BGGW,Removed,M,NA,NA,A,3,54,51.9,NA,NA,start,FALSE
6/3/21,WL,BGKK,Removed,M,NA,NA,A,3,57,47.5,NA,NA,start,FALSE
6/18/21,WL,BGKR,Removed,M,NA,NA,A,3,58,56.6,NA,NA,start,FALSE
6/3/21,WL,BGR,Removed,M,NA,NA,A,3,57,60.6,NA,NA,start,FALSE
6/10/21,WL,BGRG,Removed,M,NA,NA,A,3,63,40.3,NA,NA,start,FALSE
6/10/21,WL,BGRK,Removed,M,NA,NA,A,3,57,51,NA,NA,start,FALSE
6/10/21,WL,BGRR,Removed,M,NA,NA,A,3,46,27.6,NA,NA,start,FALSE
6/18/21,WL,BGW,Removed,M,NA,NA,A,3,60,61.5,NA,NA,start,FALSE
6/10/21,WL,BGWG,Removed,M,NA,NA,A,3,61,60.6,NA,NA,start,FALSE
6/10/21,WL,BGWK,Removed,M,NA,NA,A,2,55,42.3,NA,NA,start,FALSE
6/10/21,WL,BGWW,Removed,M,NA,NA,A,2,57,48.5,NA,NA,start,FALSE
6/10/21,WL,BGWY,Removed,M,NA,NA,A,2,54,40.7,NA,NA,start,FALSE
6/18/21,WL,BGYG,Removed,M,NA,NA,A,3,55,49.7,NA,NA,start,FALSE
6/21/21,WL,BGYG,Removed,M,NA,10,A,3,55,49.7,NA,NA,start,FALSE
6/10/21,WL,BGYK,Removed,M,NA,NA,A,2,54,41.4,NA,NA,start,FALSE
6/3/21,WL,BGYR,Removed,M,NA,NA,A,3,64,80.8,NA,NA,start,FALSE
6/10/21,WL,BGYW,Removed,M,NA,NA,A,3,54,38.5,NA,NA,start,FALSE
6/3/21,WL,BGYY,Removed,M,NA,NA,A,3,62,68,NA,NA,start,FALSE
5/31/22,WL,GBG,Removed,M,1,10,A,3,52,40.3,NA,NA,start,FALSE
6/2/22,WL,GBG,Removed,M,4,8.5,A,3,NA,NA,NA,NA,start,FALSE
7/7/22,WL,GBGK,Removed,M,1,6,A,3,64,85.3,NA,NA,start,FALSE
5/19/22,WL,GBGR,Removed,M,1,3.5,A,3,59,57.4,NA,NA,start,FALSE
6/13/22,WL,GBRK,Removed,M,1,5,A,3,65,77.2,5.3,346,start,FALSE
5/19/22,WL,GBWB,Removed,M,4,10,A,3,58,51.6,NA,NA,start,FALSE
6/13/22,WL,GBWR,Removed,M,3,11,A,3,44,23.9,10,352,start,FALSE
5/19/22,WL,GBWY,Removed,M,3,11,A,3,57,51.6,NA,NA,start,FALSE
5/19/22,WL,GBY,Removed,M,2,2.5,A,3,52,38,NA,NA,start,FALSE
5/19/22,WL,GBYG,Removed,M,2,11,A,3,48,34.3,NA,NA,start,FALSE
5/19/22,WL,GBYY,Removed,M,3,11,A,3,57,56.4,NA,NA,start,FALSE
5/19/22,WL,GGBG,Removed,M,3,9,A,3,51,37.4,NA,NA,start,FALSE
5/19/22,WL,GGBW,Removed,M,3,9,A,3,60,66.5,NA,NA,start,FALSE
6/13/22,WL,GGG,Removed,M,3,7.5,A,3,56,47.5,NA,NA,start,FALSE
5/19/22,WL,GGRK,Removed,M,2,5,A,3,51,41.1,NA,NA,start,FALSE
6/13/22,WL,GGWK,Removed,M,3,8,A,3,66,84.5,9,332,start,FALSE
5/19/22,WL,GGYG,Removed,M,2,8.5,A,3,55,47.1,NA,NA,start,FALSE
5/19/22,WL,GGYR,Removed,M,1,7.5,A,3,51,34.7,NA,NA,start,FALSE
5/31/22,WL,GGYW,Removed,M,1,5.5,A,3,57,54.4,NA,NA,start,FALSE
5/19/22,WL,GYGK,Removed,M,3,10,A,3,57,59.5,NA,NA,start,FALSE
5/19/22,WL,GYGW,Removed,M,3,11.5,A,3,46,26.2,NA,NA,start,FALSE
6/11/22,CML,K-BBG,Removed,M,3,7,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,KB,Removed,F,2,6,A,3,47,30.9,NA,NA,start,FALSE
7/14/22,CML,K-BGK,Removed,F,2,5,A,3,NA,NA,NA,NA,start,FALSE
8/1/22,WL,KBBK,Removed,F,3,9,A,3,55,43.1,NA,NA,start,FALSE
7/18/22,WL,KBBR,Removed,F,4,7,A,3,52,42.1,7,375,start,FALSE
6/23/22,WL,KBBW,Removed,M,3,6,A,3,64,77.1,NA,NA,start,FALSE
