date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
6/3/21,WL,BGBR,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGBW,Dead,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGG,Molted,M,NA,NA,A,2,NA,NA,start
6/3/21,WL,BGGW,Removed,M,NA,NA,A,3,NA,NA,end
6/3/21,WL,BGKK,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGKY,Molted,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGR,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGYR,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGYY,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,OBRR,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,OBWB,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,OBWK,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,OBYG,Removed,M,NA,NA,A,3,NA,NA,start
6/7/21,WL,BGGW,Removed,M,NA,8,A,3,NA,NA,start
6/10/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,BGKG,Molted,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,BGRG,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,BGRR,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,BGWG,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,BGWK,Removed,M,NA,NA,A,2,NA,NA,start
6/10/21,WL,BGWW,Removed,M,NA,NA,A,2,NA,NA,start
6/10/21,WL,BGWY,Removed,M,NA,NA,A,2,NA,NA,start
6/10/21,WL,BGYK,Removed,M,NA,NA,A,2,NA,NA,start
6/10/21,WL,BGYW,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBB,Molted,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBBG,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBBW,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBG,Molted,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBK,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBKB,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBKG,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBKK,Missing,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBW,Dead,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBWY,Removed,M,NA,NA,A,3,NA,NA,start
6/10/21,WL,OBYR,Molted,M,NA,NA,A,3,NA,NA,start
6/14/21,WL,BGBR,Removed,M,NA,7.5,A,3,NA,NA,end
