date,condo_id,crab_id,outcome,sex,hemo_color,hemo_ri,status,shell_hardness,digital_ri,ca,start_end
6/3/21,WL,BGBR,Removed,M,NA,NA,A,3,NA,NA,start
6/21/21,WL,BG,Dead,F,NA,5,A,3,NA,NA,NA
6/24/21,WL,BG,Dead,F,NA,NA,A,3,NA,NA,NA
6/28/21,WL,BG,Dead,F,NA,4.5,A,3,NA,NA,NA
7/1/21,WL,BG,Dead,F,NA,NA,A,3,NA,NA,NA
7/5/21,WL,BG,Dead,F,NA,4,A,3,NA,NA,NA
7/8/21,WL,BG,Dead,F,NA,NA,A,3,NA,NA,NA
6/3/21,WL,BGBW,Dead,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGG,Molted,M,NA,NA,A,2,NA,NA,start
6/14/21,WL,BGBG,Molted,M,NA,10.5,A,3,NA,NA,NA
6/18/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA
6/21/21,WL,BGBG,Molted,M,NA,11,A,3,NA,NA,NA
6/24/21,WL,BGBG,Molted,M,NA,NA,A,3,NA,NA,NA
6/28/21,WL,BGBG,Molted,M,NA,11.5,A,3,NA,NA,NA
6/3/21,WL,BGGW,Removed,M,NA,NA,A,3,NA,NA,end
6/3/21,WL,BGKK,Removed,M,NA,NA,A,3,NA,NA,start
6/21/21,WL,BGBK,Removed,M,NA,13,A,3,NA,NA,NA
6/24/21,WL,BGBK,Removed,M,NA,NA,A,3,NA,NA,NA
6/28/21,WL,BGBK,Removed,M,NA,12.5,A,3,NA,NA,NA
7/1/21,WL,BGBK,Removed,M,NA,12,A,3,NA,NA,NA
7/5/21,WL,BGBK,Removed,M,NA,11.5,A,3,NA,NA,NA
7/8/21,WL,BGBK,Removed,M,NA,7,A,3,NA,NA,NA
7/12/21,WL,BGBK,Removed,M,NA,7.5,A,3,NA,NA,NA
7/15/21,WL,BGBK,Removed,M,NA,NA,A,3,NA,NA,NA
7/19/21,WL,BGBK,Removed,M,NA,7,A,3,NA,NA,NA
6/3/21,WL,BGKY,Molted,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGR,Removed,M,NA,NA,A,3,NA,NA,start
6/7/21,WL,BGBR,Removed,M,NA,5.5,A,3,NA,NA,NA
6/10/21,WL,BGBR,Removed,M,NA,NA,A,3,NA,NA,NA
6/3/21,WL,BGYR,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,BGYY,Removed,M,NA,NA,A,3,NA,NA,start
6/7/21,WL,BGBW,Dead,M,NA,8,A,3,NA,NA,NA
6/10/21,WL,BGBW,Dead,M,NA,NA,A,3,NA,NA,NA
6/14/21,WL,BGBW,Dead,M,NA,8,A,3,NA,NA,NA
6/18/21,WL,BGBW,Dead,M,NA,NA,A,3,NA,NA,NA
6/21/21,WL,BGBW,Dead,M,NA,9.5,A,3,NA,NA,NA
6/24/21,WL,BGBW,Dead,M,NA,NA,A,3,NA,NA,NA
6/28/21,WL,BGBW,Dead,M,NA,9,A,3,NA,NA,NA
7/1/21,WL,BGBW,Dead,M,NA,NA,A,3,NA,NA,NA
7/5/21,WL,BGBW,Dead,M,NA,8.5,A,3,NA,NA,NA
7/8/21,WL,BGBW,Dead,M,NA,NA,A,3,NA,NA,NA
7/12/21,WL,BGBW,Dead,M,NA,7,A,3,NA,NA,NA
6/3/21,WL,OBRR,Removed,M,NA,NA,A,3,NA,NA,start
6/3/21,WL,OBWB,Removed,M,NA,NA,A,3,NA,NA,start
6/21/21,WL,BGBY,Removed,M,NA,6.5,A,3,NA,NA,NA
