crab_id,hemo_ri,pre_post,condo_id,period
GBB,5,pre,WL,TRUE
GBB,3.5,post,WL,TRUE
GBGG,9,pre,WL,FALSE
GBGG,5,post,WL,FALSE
GBGY,9.5,pre,WL,TRUE
GBGY,5,post,WL,TRUE
GBWK,4.5,pre,WL,FALSE
GBWK,4,post,WL,FALSE
GGGW,11,pre,WL,TRUE
GGGW,7,post,WL,TRUE
GGGY,4,pre,WL,FALSE
GGGY,4.5,post,WL,FALSE
GGKG,4,pre,WL,FALSE
GGKG,4,post,WL,FALSE
GGKR,4.5,pre,WL,FALSE
GGKR,3.5,post,WL,FALSE
GGW,11,pre,WL,FALSE
GGW,4,post,WL,FALSE
K-BGY,6,pre,CML,FALSE
K-BGY,10,post,CML,FALSE
K-BYG,10,pre,CML,FALSE
K-BYG,5,post,CML,FALSE
OBRW,6,pre,WL,FALSE
OBRW,5,post,WL,FALSE
PBRG,11.5,pre,WL,TRUE
PBRG,6,post,WL,TRUE
PBW,9.5,pre,WL,TRUE
PBW,5.5,post,WL,TRUE
PBYW,8,pre,WL,FALSE
PBYW,5,post,WL,FALSE
R-GG,8.5,pre,CML,FALSE
R-GG,5,post,CML,FALSE
R-RRK,9,pre,CML,FALSE
R-RRK,3,post,CML,FALSE
R-RWR,7,pre,CML,FALSE
R-RWR,5,post,CML,FALSE
U-BB (U-YWY),4,pre,CML,FALSE
U-BB (U-YWY),3,post,CML,FALSE
U-BGB,10,pre,CML,FALSE
U-BGB,4,post,CML,FALSE
U-BWW,13,pre,CML,FALSE
U-BWW,5.5,post,CML,FALSE
U-GKR,11.5,pre,CML,FALSE
U-GKR,5,post,CML,FALSE
YBGR,8,pre,CML,FALSE
YBGR,4,post,CML,FALSE
YBGW,9,pre,CML,FALSE
YBGW,5,post,CML,FALSE
YBYB,9.5,pre,WL,FALSE
YBYB,8.5,post,WL,FALSE
YYG,13.5,pre,WL,TRUE
YYG,6,post,WL,TRUE
YYGY,9,pre,CML,FALSE
YYGY,5,post,CML,FALSE
YYR,6,pre,CML,FALSE
YYR,4,post,CML,FALSE
YYY,8.5,pre,CML,FALSE
YYY,3,post,CML,FALSE
YYYK,8.5,pre,CML,FALSE
YYYK,4.5,post,CML,FALSE
GGGW,11,pre,WL,TRUE
GGGW,7,post,WL,TRUE
YBY,12,pre,WL,TRUE
YBY,7,post,WL,TRUE
