crab_id,hemo_ri,hemo_col
BGBG,NA,NA
BGBG,NA,NA
BGBG,NA,NA
BGBG,NA,NA
BGBK,NA,NA
BGBK,NA,NA
BGBK,12,NA
BGBK,7,NA
BGBK,NA,NA
BGBK,NA,NA
BGBR,5.5,NA
BGBR,7.5,NA
BGBY,NA,NA
BGBY,NA,NA
BGBY,NA,NA
BGBY,NA,NA
BGBY,NA,NA
BGBY,NA,NA
BGG,NA,NA
BGG,NA,NA
BGG,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
BGGR,6.5,NA
BGGR,7,NA
BGGR,5.5,NA
BGGW,NA,NA
BGGW,NA,NA
BGGW,NA,NA
BGGW,NA,NA
BGGW,8.5,NA
BGGW,NA,NA
BGGW,NA,NA
BGKG,NA,NA
BGKG,NA,NA
BGKG,NA,NA
BGKG,NA,NA
BGKG,NA,NA
BGKG,NA,NA
BGKK,7,NA
BGKK,6,NA
BGKR,9,NA
BGKR,8,NA
BGKR,7.5,NA
BGKR,7,NA
BGKR,6.5,NA
BGKY,NA,NA
BGKY,NA,NA
BGR,3.5,NA
BGR,3,NA
BGRG,4.5,NA
BGRK,3,NA
BGRR,3.5,NA
BGW,9,NA
BGW,6,NA
BGW,7.5,NA
BGW,7,NA
BGW,6.5,NA
BGWG,NA,NA
BGWK,NA,NA
BGWW,NA,NA
BGWY,NA,NA
BGYG,NA,NA
BGYG,NA,NA
BGYG,NA,NA
BGYG,NA,NA
BGYG,NA,NA
BGYG,NA,NA
BGYK,4,NA
BGYR,7.5,NA
BGYR,6,NA
BGYR,8.5,NA
BGYR,8,NA
BGYR,7,NA
BGYR,7,NA
BGYW,NA,NA
BGYY,NA,NA
BGYY,NA,NA
GBB,9,3
GBB,5.5,3
GBB,8,3
GBB,5,3
GBGB,8.5,4
GBGB,6.5,3
GBGG,12,3
GBGG,9,3
GBGG,3.5,1
GBGG,9,3
GBGK,10,4
GBGK,8,3
GBGK,8,3
GBGR,6,1
GBGR,9,3
GBGR,7,4
GBGR,7.5,3
GBGY,5,1
GBKR,10.5,3
GBKR,8,3
GBKR,NA,NA
GBRK,5,1
GBRK,5,1
GBRK,5.5,3
GBRK,5,2
GBWB,11,3
GBWB,8.5,3
GBWB,8,3
GBWB,8,3
GBWK,8.5,3
GBWK,5,3
GBWK,4,3
GBWR,10,3
GBWR,10.5,2
GBWR,3,2
GBWR,6,3
GBWY,11,3
GBWY,5,3
GBWY,7,2
GBY,9.5,2
GBY,2.5,2
GBY,5.5,2
GBY,7,2
GBY,6.5,3
GBYB,11,4
GBYB,7,4
GBYG,11,2
GBWY,8,3
GBYG,8.5,2
GBYG,9,3
GBYY,11,3
GBYY,7.5,1
GBYY,4.5,2
GBYY,8,3
GGBG,8,3
GGBG,7,3
GGBG,5.5,3
GGBG,8,5
GGBR,9.5,3
GGBR,5.5,3
GGBR,9,3
GGBW,4,1
GGBW,6,2
GGBW,6.5,3
GGBW,6,3
GGBY,11.5,3
GGBY,7.5,3
GGG,7,3
GGG,5.5,3
GGG,6.5,3
GGG,6,3
GGGW,10.5,3
GGGW,9,3
GGGW,7,3
GGGY,7,3
GGGY,4.5,3
GGKG,6,1
GGKG,4,3
GGKR,9.5,3
GGKR,6,1
GGKR,4.5,3
GGKR,4.5,3
GGRK,5,2
GGRK,6.5,3
GGRK,5.5,1
GGRK,7,3
GGW,11,3
GGWK,9,3
GGWK,8.5,3
GGWK,4.5,2
GGWK,7,3
GGWK,7,3
GGYG,9,1
GGYG,6.5,1
GGYG,6.5,1
GGYG,7,3
GGYR,8.5,2
GGYR,4.5,1
GGYR,5,3
GGYR,6.5,3
GGYW,5,3
GGYW,8,3
GGYW,7,5
GGWK,6.5,2
GGGY,8.5,3
GYGK,10,3
GYGK,4.5,2
GYGK,3,1
GYGK,4.5,3
GYGW,11.5,3
GYGW,8.5,1
GYGW,5.5,2
GYGW,9,3
KB,6,2
KB,5.5,2
KB,5.5,2
KBBK,4,1
KBBK,7.5,3
KBBK,7,3
KBBR,7,4
