date,time,condo_id,crab_id,outcome,sex,hemo_col,hemo_ri,status,shell_hardness,black_light_fluorescence,photo_id,fed,post_molt_cw_mm,post_molt_mass_g,digital_ri,ca,notes_observations,period
6/10/21,10:36,WL,BGBG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/18/21,10:38,WL,BGBG,Molted,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,TRUE
6/24/21,10:05,WL,BGBG,Molted,M,NA,NA,A,3,L,101-0027,N,NA,NA,NA,NA,NA,TRUE
7/1/21,10:16,WL,BGBG,Molted,M,NA,NA,M,3,L,101-0056,N,NA,NA,NA,NA,Molted,TRUE
6/18/21,10:38,WL,BGBK,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGBK,Removed,M,NA,NA,A,3,L,101-0021,N,NA,NA,NA,NA,NA,FALSE
7/1/21,10:16,WL,BGBK,Removed,M,NA,12,A,3,L,101-0050,N,NA,NA,NA,NA,NA,FALSE
7/8/21,9:32,WL,BGBK,Removed,M,NA,7,A,3,L,101-0060,N,NA,NA,NA,NA,NA,FALSE
7/15/21,9:40,WL,BGBK,Removed,M,NA,NA,A,3,X,101-0114,N,NA,NA,NA,NA,NA,FALSE
7/22/21,8:50,WL,BGBK,Removed,M,NA,NA,A,3,X,101-0137,N,NA,NA,NA,NA,Missing legs tips,FALSE
6/7/21,9:13,WL,BGBR,Removed,M,NA,5.5,A,3,L,56,57,Y,NA,NA,NA,NA,Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/14/21,14:33,WL,BGBR,Removed,M,NA,7.5,A,3,L,98,99,Y,NA,NA,NA,NA,Barely fluorescing, Removed from tray (non-premolt) on 6/17/2021 12:35,TRUE
6/18/21,10:38,WL,BGBY,Removed,M,NA,NA,A,3,L,NA,N,NA,NA,NA,NA,NA,FALSE
6/24/21,10:05,WL,BGBY,Removed,M,NA,NA,A,3,L,101-0005,N,NA,NA,NA,NA,NA,FALSE
7/1/21,10:16,WL,BGBY,Removed,M,NA,NA,A,3,L,101-0035,N,NA,NA,NA,NA,NA,FALSE
